Nama Karyawan, Tanggal, Jam Masuk, Jam Keluar
Siti Rahayu, 2023-06-01, 08:05:00, 17:10:00
Siti Rahayu, 2023-06-02, 08:10:00, 17:20:00
Siti Rahayu, 2023-06-05, 08:20:00, 17:15:00
Siti Rahayu, 2023-06-06, 08:30:00, 17:25:00
Siti Rahayu, 2023-06-07, 08:10:00, 17:10:00
Siti Rahayu, 2023-06-08, 08:10:00, 17:15:00
Siti Rahayu, 2023-06-09, 08:05:00, 17:00:00
Siti Rahayu, 2023-06-12, 08:15:00, 17:30:00
Siti Rahayu, 2023-06-13, 08:20:00, 17:10:00
Siti Rahayu, 2023-06-14, 08:10:00, 17:20:00
Siti Rahayu, 2023-06-15, 08:15:00, 17:30:00
Siti Rahayu, 2023-06-16, 08:20:00, 17:15:00
Siti Rahayu, 2023-06-19, 08:10:00, 17:20:00
Siti Rahayu, 2023-06-20, 08:05:00, 17:00:00
Siti Rahayu, 2023-06-21, 08:15:00, 17:30:00
Siti Rahayu, 2023-06-22, 08:30:00, 17:25:00
Siti Rahayu, 2023-06-23, 08:25:00, 17:10:00
Siti Rahayu, 2023-06-26, 08:15:00, 17:30:00
Siti Rahayu, 2023-06-27, 08:20:00, 17:15:00
Siti Rahayu, 2023-06-28, 08:10:00, 17:20:00
Siti Rahayu, 2023-06-29, 08:05:00, 17:00:00
Siti Rahayu, 2023-06-30, 08:15:00, 17:30:00
