Nama Karyawan, Tanggal, Jam Masuk, Jam Keluar
Siti Rahayu, 2023-05-01, 08:05:00, 17:10:00
Siti Rahayu, 2023-05-02, 08:10:00, 17:20:00
Siti Rahayu, 2023-05-03, 08:20:00, 17:15:00
Siti Rahayu, 2023-05-04, 08:30:00, 17:25:00
Siti Rahayu, 2023-05-05, 08:10:00, 17:10:00
Siti Rahayu, 2023-05-08, 08:10:00, 17:15:00
Siti Rahayu, 2023-05-09, 08:05:00, 17:00:00
Siti Rahayu, 2023-05-10, 08:15:00, 17:30:00
Siti Rahayu, 2023-05-11, 08:20:00, 17:10:00
Siti Rahayu, 2023-05-12, 08:10:00, 17:20:00
Siti Rahayu, 2023-05-15, 08:15:00, 17:30:00
Siti Rahayu, 2023-05-16, 08:20:00, 17:15:00
Siti Rahayu, 2023-05-17, 08:10:00, 17:20:00
Siti Rahayu, 2023-05-18, 08:05:00, 17:00:00
Siti Rahayu, 2023-05-19, 08:15:00, 17:30:00
Siti Rahayu, 2023-05-22, 08:30:00, 17:25:00
Siti Rahayu, 2023-05-23, 08:25:00, 17:10:00
Siti Rahayu, 2023-05-24, 08:15:00, 17:30:00
Siti Rahayu, 2023-05-25, 08:20:00, 17:15:00
Siti Rahayu, 2023-05-26, 08:10:00, 17:20:00
Siti Rahayu, 2023-05-29, 08:05:00, 17:00:00
Siti Rahayu, 2023-05-30, 08:15:00, 17:30:00
Siti Rahayu, 2023-05-31, 08:20:00, 17:10:00
