Nama Karyawan, Tanggal Belanja, Barang yang Dibeli, Jumlah, Total Belanja (IDR)
Siti Rahayu, 2023-06-01, Beras, 2 kg, 50000
Siti Rahayu, 2023-06-01, Gula, 1 kg, 20000
Siti Rahayu, 2023-06-02, Sabun Mandi, 3 buah, 60000
Siti Rahayu, 2023-06-02, Shampo, 2 botol, 40000
Siti Rahayu, 2023-06-05, Ayam, 2 kg, 180000
Siti Rahayu, 2023-06-05, Daging Sapi, 1 kg, 270000
Siti Rahayu, 2023-06-05, Sayuran, -, 90000
Siti Rahayu, 2023-06-08, Beras, 5 kg, 125000
Siti Rahayu, 2023-06-08, Gula, 1 kg, 20000
Siti Rahayu, 2023-06-10, Blender, 1 buah, 150000
Siti Rahayu, 2023-06-10, Panci, 1 buah, 60000
Siti Rahayu, 2023-06-10, Piring, 6 buah, 70000
Siti Rahayu, 2023-06-15, Ikan, -, 150000
Siti Rahayu, 2023-06-15, Sayuran, -, 50000
Siti Rahayu, 2023-06-20, Popok, 2 pak, 100000
Siti Rahayu, 2023-06-20, Susu Bayi, 5 botol, 200000
Siti Rahayu, 2023-06-20, Mainan, 1 buah, 50000
Siti Rahayu, 2023-06-25, Beras, 2 kg, 50000
Siti Rahayu, 2023-06-25, Gula, 1 kg, 20000
Siti Rahayu, 2023-06-28, Sabun Mandi, 3 buah, 60000
Siti Rahayu, 2023-06-28, Shampo, 2 botol, 40000
Siti Rahayu, 2023-06-30, Ayam, 2 kg, 180000
Siti Rahayu, 2023-06-30, Daging Sapi, 1 kg, 270000
Siti Rahayu, 2023-06-30, Sayuran, -, 90000
